domain,company,category,sources,have_DMs
blobby.co.il,,,discolike_IL,no
bluebird-uav.com,,,supersoniq_proven,yes
bluebricks.co,Bluebricks,infrastructure automation devtools,scrape,no
bluecircle.ai,,,supersoniq_proven,yes
bluedotcorp.com,Blue dot,FinTech,scrape|supersoniq_proven,yes
blueonionlabs.com,Blue Onion,fintech saas,scrape,no
bluevine.com,BlueVine,FinTech,scrape,no
bni.co.il,,,discolike_IL,no
boardirector.co.il,,,discolike_IL,no
boardsync.app,,,discolike_IL,no
boffofinance.com,,,discolike_IL,no
boka.co.il,,,discolike_IL,no
bondata.ai,,,discolike_IL,no
bonditglobal.com,BondIT,Fintech SaaS,scrape,no
bontact.com,Bontact,customer messaging SaaS,scrape,no
bookapp.co.il,,,discolike_IL,no
bookasp.com,,,discolike_IL,no
bookingapp.co.il,,,discolike_IL,no
bookiz.co.il,,,discolike_IL,no
booktime.co.il,,,discolike_IL,no
boomerangs.io,,,discolike_IL,no
boost-automations.com,,,discolike_IL,no
boosteam.ai,,,discolike_IL,no
boostoday.com,,,discolike_IL,no
boothloader.com,,,discolike_IL,no
boss-digital.co.il,,,discolike_IL,no
boss-sws.com,,,discolike_IL,no
bot-10.com,,,discolike_IL,no
bot-bot.co.il,,,discolike_IL,no
bot-online.net,,,discolike_IL,no
bot1.co.il,,,discolike_IL,no
bot4business.co.il,,,discolike_IL,no
bot67.com,,,discolike_IL,no
botcraft.co.il,,,discolike_IL,no
boten.biz,,,discolike_IL,no
boti.bot,,,discolike_IL,no
boti.co.il,,,discolike_IL,no
botifybiz.com,,,discolike_IL,no
botika.com,,,discolike_IL,no
botil.app,,,discolike_IL,no
botit.co.il,,,discolike_IL,no
botiva.co.il,,,discolike_IL,no
botley.co.il,,,discolike_IL,no
botmotors-ai.com,,,discolike_IL,no
botomatic.net,,,discolike_IL,no
botomation.online,,,discolike_IL,no
botsai.app,,,discolike_IL,no
bottie.ai,,,discolike_IL,no
boty.co.il,,,discolike_IL,no
box1987.co.il,,,discolike_IL,no
braavos.app,Braavos,FinTech,scrape|supersoniq_proven,yes
brain2spark.ai,,,discolike_IL,no
brainboxai.io,,,discolike_IL,no
brandaii.net,,,discolike_IL,no
brandbow.com,,,discolike_IL,no
brandlight.ai,BrandLight,AI brand visibility,discolike_IL|scrape,no
brandshield.com,BrandShield,Brand Protection,scrape|supersoniq_proven,yes
brdta.com,Bright Data,Data Infrastructure,scrape,no
breezeai.com,Breeze,InsurTech,scrape,no
breinapps.com,,,discolike_IL,no
bria.ai,Bria,generative ai saas,scrape,no
